Location,Sold
Balikpapan,21
Banda Aceh,0
Bandar Lampung,68
Bandung,125207
Banjar,657
Banjarbaru,0
Banjarmasin,26
Batam,500
Batu,2
Bekasi,18488
Bengkulu,0
Blitar,0
Bogor,5034
Cilegon,381
Cimahi,2681
Cirebon,99
Denpasar,1022
Depok,28003
Dumai,14
Gorontalo,0
Jakarta Barat,379427
Jakarta Pusat,248755
Jakarta Selatan,23149
Jakarta Timur,225101
Jakarta Utara,381909
Jambi,22
Kab. Asahan,0
Kab. Badung,25
Kab. Bandung,21026
Kab. Bandung Barat,2459
Kab. Bangkalan,0
Kab. Banjarnegara,0
Kab. Bantul,456
Kab. Banyumas,1760
Kab. Banyuwangi,92
Kab. Batang,0
Kab. Bekasi,20848
Kab. Bintan,0
Kab. Blitar,12940
Kab. Blora,41
Kab. Bogor,14416
Kab. Bojonegoro,2
Kab. Bondowoso,7
Kab. Boyolali,0
Kab. Cianjur,3
Kab. Cilacap,80
Kab. Cirebon,0
Kab. Deli Serdang,4
Kab. Demak,31
Kab. Garut,132
Kab. Gianyar,326
Kab. Gresik,132
Kab. Grobogan,0
Kab. Indragiri Hilir,1
Kab. Jember,1
Kab. Jepara,19
Kab. Jombang,15
Kab. Karanganyar,720
Kab. Karangasem,0
Kab. Karawang,1779
Kab. Karimun,0
Kab. Kediri,20
Kab. Kendal,0
Kab. Ketapang,0
Kab. Klaten,26200
Kab. Kubu Raya,0
Kab. Kudus,12
Kab. Kulon Progo,0
Kab. Kuningan,251
Kab. Labuhanbatu,0
Kab. Lampung Selatan,0
Kab. Lampung Tengah,1
Kab. Lampung Timur,0
Kab. Lombok Barat,0
Kab. Lombok Timur,0
Kab. Lumajang,0
Kab. Madiun,0
Kab. Magelang,2
Kab. Magetan,40
Kab. Majalengka,0
Kab. Malang,544
Kab. Manokwari,1
Kab. Merauke,0
Kab. Mojokerto,5518
Kab. Musi Banyuasin,1
Kab. Nganjuk,100
Kab. Ogan Komering Ulu,0
Kab. Ogan Komering Ulu Selatan,0
Kab. Pamekasan,94
Kab. Pasuruan,8
Kab. Pati,5
Kab. Pekalongan,100
Kab. Pemalang,90
Kab. Pinrang,0
Kab. Ponorogo,0
Kab. Probolinggo,80
Kab. Purbalingga,4
Kab. Purwakarta,87
Kab. Rembang,100
Kab. Sanggau,0
Kab. Semarang,100
Kab. Serang,256
Kab. Sidoarjo,3811
Kab. Sintang,0
Kab. Situbondo,34
Kab. Sleman,2380
Kab. Subang,100
Kab. Sukabumi,6
Kab. Sukoharjo,1034
Kab. Sumedang,102
Kab. Sumenep,0
Kab. Tabanan,0
Kab. Tana Toraja,0
Kab. Tanah Laut,0
Kab. Tangerang,16403
Kab. Tanjung Jabung Barat,0
Kab. Tasikmalaya,0
Kab. Tegal,11
Kab. Wonosobo,0
Kab.Ciamis,50
Kediri,146
Kendari,0
Koodo,1000
Madiun,30
Magelang,91
Makassar,216
Malang,15573
Manado,2
Mataram,7
Medan,3175
Padang,4
Pagar Alam,0
Palangkaraya,0
Palembang,101
Palu,0
Pasuruan,4
Pekalongan,250
Pekanbaru,416
Pontianak,5
Probolinggo,0
Salatiga,15
Samarinda,269
Semarang,10678
Serang,3
Sukabumi,25
Surabaya,48261
Surakarta,217
Tangerang,69095
Tangerang Selatan,18864
Tanjung Pinang,243
Tarakan,1
Tasikmalaya,525
Tebing Tinggi,0
Tegal,214
Yogyakarta,229
