Location,Price
Bandung,6551735.0
Banjarmasin,5062150.0
Batam,6927833.0
Bekasi,10875270.731707318
Cimahi,2331333.3333333335
Denpasar,8255666.666666667
Depok,1290225.0
Gorontalo,8000000.0
Jakarta Barat,1586872.892
Jakarta Pusat,9831462.307692308
Jakarta Selatan,7462829.2105263155
Jakarta Timur,4999396.651162791
Jakarta Utara,2529905.888888889
Kab. Badung,5708250.0
Kab. Bandung,743666.6666666666
Kab. Bandung Barat,256350.0
Kab. Bantul,6250000.0
Kab. Banyumas,1638000.0
Kab. Bogor,3623437.5
Kab. Kediri,21300000.0
Kab. Kuningan,6374000.0
Kab. Majalengka,218000.0
Kab. Rembang,28000.0
Kab. Sidoarjo,13988000.0
Kab. Sleman,4117750.0
Kab. Tangerang,10370750.0
Madiun,8699000.0
Magelang,225000.0
Makassar,8779875.0
Malang,6111739.130434782
Medan,833375.0
Padang,14099000.0
Palembang,9349500.0
Palu,8789000.0
Pekalongan,250000.0
Pekanbaru,9416000.0
Pontianak,9880500.0
Samarinda,13013500.0
Semarang,4188000.0
Serang,400000.0
Surabaya,5087400.0
Surakarta,9739000.0
Tangerang,1368050.0
Tangerang Selatan,5941300.0
Tasikmalaya,565000.0
Yogyakarta,6370000.0
